file,r_i_glide_gscore,r_i_docking_score
M355-0910,-8.92926487946936,-8.92926487946936
V006-3901,-8.92881282252763,-8.92851282252763
C276-0509,-8.92840462099174,-8.92840462099174
G199-3610,-9.34720814855242,-8.92830814855242
G801-1081,-8.96393129401864,-8.92763129401864
5537-0046,-8.92614908634707,-8.92614908634707
G199-3609,-9.32661849624151,-8.92481849624151
V017-3847,-9.29109715992711,-8.92429715992711
0099-0162,-8.92378681853792,-8.92378681853792
5752-4025,-9.10859019547566,-8.92329019547566
G199-3635,-9.34330528668577,-8.92320528668577
P507-0345,-8.9230848997011,-8.9230848997011
8020-3805,-8.92306969119987,-8.92306969119987
Y040-3812,-8.92295158033313,-8.92295158033313
F471-0807,-8.92363100515693,-8.92293100515693
T842-1401,-9.09765231748311,-8.92155231748311
G266-0876,-8.92149897207776,-8.92149897207776
Z250-1331,-8.94782536521133,-8.92052536521133
Z296-0294,-9.33118295980724,-8.92048295980724
Y070-4692,-9.70357606776853,-8.91987606776853
C561-2925,-8.91786320634623,-8.91786320634623
Y020-9435,-8.9966590231314,-8.9177590231314
G199-2095,-9.41975079862886,-8.91705079862886
Z250-1266,-8.93460920345997,-8.91610920345997
Y020-9073,-8.91598620004186,-8.91598620004186
F470-0711,-8.91651088172351,-8.91581088172351
C498-0683,-8.91397518601005,-8.91397518601005
D007-0159,-8.91360171784878,-8.91360171784878
G357-2081,-8.91356479383804,-8.91356479383804
P814-4316,-8.91282303503765,-8.91282303503765
P162-0953,-8.91542068440055,-8.91262068440055
8003-8184,-8.91192131199382,-8.91192131199382
G199-2095,-9.3956485996427,-8.9117485996427
D437-0295,-8.91113468054342,-8.91113468054342
T226-1109,-8.91108625825872,-8.91108625825872
D718-1563,-8.9108486338434,-8.9108486338434
G786-1919,-9.09236916183216,-8.91056916183216
D718-1348,-8.91033938563359,-8.91033938563359
J108-0007,-8.91020832434185,-8.91020832434185
G199-2080,-9.31971381283314,-8.90911381283314
5537-0018,-8.90907086645617,-8.90907086645617
0833-0526,-8.90853469862382,-8.90853469862382
D077-0365,-8.90834160806933,-8.90834160806933
C498-0581,-8.90796242766011,-8.90776242766011
8020-2028,-8.90775314638052,-8.90775314638052
8563-0779,-8.90618774990718,-8.90618774990718
C143-0083,-9.21356881964178,-8.90566881964178
Y020-5977,-8.90531655764883,-8.90531655764883
Z250-1322,-8.92234479043887,-8.90504479043887
F471-0729,-8.90464469968585,-8.90464469968585
5537-0030,-8.90445908318088,-8.90445908318088
C463-0300,-8.90634626883684,-8.90204626883684
F389-0685,-8.90135151185213,-8.90135151185213
C243-0290,-8.90055333475389,-8.90055333475389
8007-3973,-8.89993455633796,-8.89993455633796
C444-1634,-8.89967076242819,-8.89967076242819
Z250-1347,-9.01167986495066,-8.89767986495066
P097-1792,-8.89735634420518,-8.89735634420518
C498-0628,-8.89730001090318,-8.89730001090318
M455-0553,-8.89714072583674,-8.89714072583674
G199-3609,-9.31658098904215,-8.89688098904215
D503-0231,-8.89567559699076,-8.89567559699076
D383-0093,-8.89896084170924,-8.89536084170924
T226-1214,-9.64333353634748,-8.89423353634748
C926-0293,-8.89575255767448,-8.89365255767448
Z218-4489,-9.30279831094479,-8.89209831094479
D437-0099,-8.89063387183311,-8.89063387183311
D114-0024,-8.88974610076333,-8.88974610076333
8498-5083,-9.31640630911741,-8.88960630911741
5752-4025,-10.0774500846962,-8.88775008469621
1683-2017,-9.07544268693301,-8.88724268693301
C926-0304,-8.88557544176587,-8.88557544176587
C561-2821,-8.8847967078211,-8.8847967078211
D077-0240,-8.88360801994267,-8.88360801994267
C498-0636,-8.88347543721209,-8.88347543721209
4410-3608,-8.88360356740166,-8.88310356740166
C276-0508,-8.88737519827211,-8.88297519827211
G786-1921,-9.04949716310609,-8.88239716310609
K783-5743,-8.88079054185138,-8.88079054185138
Y020-9496,-8.88073571564401,-8.88073571564401
4287-0261,-8.88828891656501,-8.88018891656501
E543-0724,-8.8793710953905,-8.8793710953905
G856-2172,-8.9151973182473,-8.8789973182473
C648-0369,-8.87880706298184,-8.87880706298184
M628-0255,-8.87846929187099,-8.87846929187099
G199-3632,-9.29620640364036,-8.87730640364036
G419-0788,-8.87580048319,-8.87580048319
E595-0051,-8.8753580582921,-8.8745580582921
D385-0471,-8.87381774295892,-8.87381774295892
